id	effectiveTime	active	moduleId	refsetId	referencedComponentId	sourceEffectiveTime	targetEffectiveTime
1244116f-fdb5-5645-afcc-5281288409da	20150131	1	900000000000207008	900000000000534007	900000000000012004	20150131	20150131
282d8e81-4b9d-56b8-bda1-bbe23a67efa6	20150301	1	731000124108	900000000000534007	900000000000207008	20150301	20150131
2a2d31ee-2c73-5757-b4a4-fd4a815dfd28	20150301	1	5991000124107	900000000000534007	731000124108	20150301	20150131
3118e4e9-3471-5d41-b79d-b3a58f97ee61	20130301	0	731000124108	900000000000534007	900000000000207008	20120901	20120731
4451ace9-3648-56f5-a658-62662731c077	20140301	0	731000124108	900000000000534007	900000000000012004	20130901	20130731
53773521-fd81-5dde-9a2d-8b87e8803251	20150301	0	5991000124107	900000000000534007	731000124108	20140901	20130901
686fe392-d2f7-586d-98aa-078aba426832	20150131	1	449080006	900000000000534007	900000000000207008	20150131	20150131
6a729add-2f0d-5d0c-a297-63d5d3253b49	20120301	0	731000124108	900000000000534007	900000000000207008	20110801	20110731
70edb2ac-8a7a-5a94-b385-f8ad80db3858	20110801	0	731000124108	900000000000534007	900000000000012004	20110301	20110131
71ae8ceb-7984-550c-b1f5-9a69681b383a	20110801	0	731000124108	900000000000534007	900000000000207008	20110301	20110131
730dfa37-4bc7-557f-848e-5cfe760890b8	20130901	0	731000124108	900000000000534007	900000000000012004	20130301	20130131
afd8e6b5-3760-5f38-b8d7-bb770efdbe74	20140901	0	731000124108	900000000000534007	900000000000207008	20140301	20140131
b5847266-28df-5ce6-be94-2b237271670c	20140301	0	731000124108	900000000000534007	900000000000207008	20130901	20130731
b6200a05-951a-5e3d-b563-dee63086e49a	20120901	0	731000124108	900000000000534007	900000000000207008	20120301	20120131
b72e2c7a-cc44-5d52-ab58-69999e3ce2cf	20150301	0	731000124108	900000000000534007	900000000000012004	20140901	20140731
c79200aa-4e34-59f6-89e3-2eca310ae312	20130901	0	731000124108	900000000000534007	900000000000207008	20130301	20130131
cdb127e3-ab0e-5509-8bda-dbd4cbf7381a	20120901	0	731000124108	900000000000534007	900000000000012004	20120301	20120131
cf79ad13-d669-564f-a450-65462d8fe79d	20150301	1	731000124108	900000000000534007	900000000000012004	20150301	20150131
d429cd7d-5009-5c77-969c-81b4a2b498c5	20140901	0	731000124108	900000000000534007	900000000000012004	20140301	20140131
e15032e6-6ab9-5ce3-ac4d-9491d01c9560	20120301	0	731000124108	900000000000534007	900000000000012004	20110801	20110731
f33825a8-6a05-5b8e-8a64-1b4076e4948e	20130301	0	731000124108	900000000000534007	900000000000012004	20120901	20120731
f446de8e-1243-51ca-b6d3-0c9ca465cec3	20150301	0	731000124108	900000000000534007	900000000000207008	20140901	20140731
f6431457-161b-5b46-9217-573c20c00070	20150131	1	449080006	900000000000534007	900000000000012004	20150131	20150131
