id	effectiveTime	active	moduleId	definitionStatusId
10001005	20020731	1	900000000000207008	900000000000073002
10013000	20020131	1	900000000000207008	900000000000074008
10052007	20020131	1	900000000000207008	900000000000074008
10137002	20050131	1	900000000000207008	900000000000073002
10200004	20020131	1	900000000000207008	900000000000074008
102274008	20080731	1	900000000000207008	900000000000073002
102275009	20020131	1	900000000000207008	900000000000074008
102276005	20050731	1	900000000000207008	900000000000074008
102283003	20020131	1	900000000000207008	900000000000074008
102287002	20020131	1	900000000000207008	900000000000074008
102292000	20020131	1	900000000000207008	900000000000074008
102299009	20020131	1	900000000000207008	900000000000074008
102302009	20140131	0	900000000000207008	900000000000074008
102303004	20020131	1	900000000000207008	900000000000074008
102314001	20020131	1	900000000000207008	900000000000074008
10249006	20020131	1	900000000000207008	900000000000074008
102747008	20020131	1	900000000000207008	900000000000074008
102751005	20020131	1	900000000000207008	900000000000074008
1028005	20020131	1	900000000000207008	900000000000074008
102957003	20060131	1	900000000000207008	900000000000074008
103011009	20020131	1	900000000000207008	900000000000074008
103069003	20020131	1	900000000000207008	900000000000074008
103267008	20060131	0	900000000000207008	900000000000074008
103335007	20110131	1	900000000000012004	900000000000074008
103366001	20110131	1	900000000000012004	900000000000074008
103367005	20110131	1	900000000000012004	900000000000074008
103368000	20110131	1	900000000000012004	900000000000074008
103369008	20110131	1	900000000000012004	900000000000074008
103370009	20110131	1	900000000000012004	900000000000074008
103371008	20110131	1	900000000000012004	900000000000074008
103372001	20110131	1	900000000000012004	900000000000074008
103373006	20110131	1	900000000000012004	900000000000074008
103374000	20110131	1	900000000000012004	900000000000074008
103375004	20110131	1	900000000000012004	900000000000074008
103376003	20110131	1	900000000000012004	900000000000074008
103377007	20110131	1	900000000000012004	900000000000074008
103378002	20110131	1	900000000000012004	900000000000074008
103389009	20040731	0	900000000000207008	900000000000074008
103391001	20020131	1	900000000000207008	900000000000074008
103421006	20110131	1	900000000000012004	900000000000074008
103424003	20020131	1	900000000000207008	900000000000074008
103429008	20020131	1	900000000000207008	900000000000074008
103625009	20020131	1	900000000000207008	900000000000074008
103629003	20020131	1	900000000000207008	900000000000074008
103677003	20030731	0	900000000000207008	900000000000074008
103693007	20020131	1	900000000000207008	900000000000073002
103698003	20020131	1	900000000000207008	900000000000074008
103716009	20020731	1	900000000000207008	900000000000073002
103735009	20020131	1	900000000000207008	900000000000074008
10410005	20020131	1	900000000000207008	900000000000074008
10443009	20020131	1	900000000000207008	900000000000074008
105455006	20020131	1	900000000000207008	900000000000074008
105456007	20090731	1	900000000000207008	900000000000074008
10546003	20110131	1	900000000000012004	900000000000074008
105480006	20100731	1	900000000000207008	900000000000074008
1055001	20050131	1	900000000000207008	900000000000073002
105590001	20020131	1	900000000000207008	900000000000074008
105592009	20140131	0	900000000000207008	900000000000074008
105597003	20020131	1	900000000000207008	900000000000074008
105606008	20020131	1	900000000000207008	900000000000073002
105615001	20020131	1	900000000000207008	900000000000073002
105616000	20020131	1	900000000000207008	900000000000073002
105631009	20020731	1	900000000000207008	900000000000073002
105633007	20020731	1	900000000000207008	900000000000073002
105635000	20020731	1	900000000000207008	900000000000073002
105645003	20020131	1	900000000000207008	900000000000073002
105649009	20020131	1	900000000000207008	900000000000073002
105715005	20020131	1	900000000000207008	900000000000073002
105723007	20080731	1	900000000000207008	900000000000073002
105724001	20020131	1	900000000000207008	900000000000074008
105726004	20020131	1	900000000000207008	900000000000074008
105727008	20020131	1	900000000000207008	900000000000074008
105729006	20020131	1	900000000000207008	900000000000074008
105785002	20020131	1	900000000000207008	900000000000074008
105788000	20020131	1	900000000000207008	900000000000074008
105789008	20020131	1	900000000000207008	900000000000074008
105793002	20020131	1	900000000000207008	900000000000074008
105816002	20020131	1	900000000000207008	900000000000074008
105818001	20020131	1	900000000000207008	900000000000074008
105819009	20020131	1	900000000000207008	900000000000074008
105820003	20020131	1	900000000000207008	900000000000074008
105821004	20020131	1	900000000000207008	900000000000074008
105822006	20020131	1	900000000000207008	900000000000074008
105824007	20020131	1	900000000000207008	900000000000074008
105826009	20020131	1	900000000000207008	900000000000074008
105828005	20020131	1	900000000000207008	900000000000074008
105837005	20020131	1	900000000000207008	900000000000074008
105839008	20020131	1	900000000000207008	900000000000074008
105840005	20020131	1	900000000000207008	900000000000074008
105845000	20020131	1	900000000000207008	900000000000074008
105851005	20020131	1	900000000000207008	900000000000074008
105853008	20020131	1	900000000000207008	900000000000074008
105854002	20020131	1	900000000000207008	900000000000074008
105858004	20020131	1	900000000000207008	900000000000074008
105859007	20020131	1	900000000000207008	900000000000074008
105860002	20020131	1	900000000000207008	900000000000074008
105865007	20020131	1	900000000000207008	900000000000074008
105885006	20020131	1	900000000000207008	900000000000074008
105918002	20020131	1	900000000000207008	900000000000074008
105924008	20020131	1	900000000000207008	900000000000074008
105962006	20020131	1	900000000000207008	900000000000074008
105963001	20020131	1	900000000000207008	900000000000074008
105965008	20020131	1	900000000000207008	900000000000074008
105966009	20020131	1	900000000000207008	900000000000074008
105969002	20020131	1	900000000000207008	900000000000073002
105981003	20020131	1	900000000000207008	900000000000074008
105986008	20020131	1	900000000000207008	900000000000073002
105989001	20020131	1	900000000000207008	900000000000074008
105995000	20030731	1	900000000000207008	900000000000073002
105997008	20020131	1	900000000000207008	900000000000073002
106002000	20020131	1	900000000000207008	900000000000074008
106011000	20020131	1	900000000000207008	900000000000074008
106014008	20020131	1	900000000000207008	900000000000074008
106016005	20020131	1	900000000000207008	900000000000074008
106019003	20020131	1	900000000000207008	900000000000074008
106020009	20020131	1	900000000000207008	900000000000074008
106028002	20040131	1	900000000000207008	900000000000073002
106030000	20050131	1	900000000000207008	900000000000073002
106048009	20040131	1	900000000000207008	900000000000073002
106063007	20020731	1	900000000000207008	900000000000073002
106064001	20020131	1	900000000000207008	900000000000074008
106066004	20020131	1	900000000000207008	900000000000074008
106072004	20130731	0	900000000000207008	900000000000074008
106075002	20020131	1	900000000000207008	900000000000074008
106076001	20040131	1	900000000000207008	900000000000073002
106077005	20020731	1	900000000000207008	900000000000073002
106080006	20030131	0	900000000000207008	900000000000074008
106088004	20140604	0	900000000000207008	900000000000074008
106090003	20020131	1	900000000000207008	900000000000074008
106091004	20020131	1	900000000000207008	900000000000074008
106092006	20020131	1	900000000000207008	900000000000074008
106098005	20040131	1	900000000000207008	900000000000073002
106100005	20020131	1	900000000000207008	900000000000073002
106102002	20020131	1	900000000000207008	900000000000074008
106103007	20020131	1	900000000000207008	900000000000074008
106112009	20040131	1	900000000000207008	900000000000073002
106126000	20020131	1	900000000000207008	900000000000074008
106129007	20020131	1	900000000000207008	900000000000074008
106138009	20020131	1	900000000000207008	900000000000074008
106147001	20020131	1	900000000000207008	900000000000074008
106148006	20020131	1	900000000000207008	900000000000074008
106150003	20050131	1	900000000000207008	900000000000073002
106152006	20050131	1	900000000000207008	900000000000073002
106153001	20050131	1	900000000000207008	900000000000073002
106158005	20050131	1	900000000000207008	900000000000073002
106168000	20100131	1	900000000000207008	900000000000074008
106173006	20020131	1	900000000000207008	900000000000074008
106181007	20020131	1	900000000000207008	900000000000074008
106182000	20050131	1	900000000000207008	900000000000074008
106190000	20130731	0	900000000000207008	900000000000074008
106200001	20040131	1	900000000000207008	900000000000073002
106230009	20020131	1	900000000000207008	900000000000074008
106232001	20020131	1	900000000000207008	900000000000074008
106233006	20020131	1	900000000000207008	900000000000074008
106234000	20020131	1	900000000000207008	900000000000074008
106235004	20020131	1	900000000000207008	900000000000074008
106237007	20110131	1	900000000000012004	900000000000074008
106239005	20020131	1	900000000000207008	900000000000074008
106240007	20020131	1	900000000000207008	900000000000074008
106252000	20020131	1	900000000000207008	900000000000074008
106253005	20020131	1	900000000000207008	900000000000074008
106254004	20020131	1	900000000000207008	900000000000074008
106288005	20020131	1	900000000000207008	900000000000074008
106541005	20020131	1	900000000000207008	900000000000074008
106544002	20020131	1	900000000000207008	900000000000074008
106549007	20040131	0	900000000000207008	900000000000074008
106565008	20020131	1	900000000000207008	900000000000074008
106568005	20020131	1	900000000000207008	900000000000074008
106569002	20020131	1	900000000000207008	900000000000074008
106597008	20020131	1	900000000000207008	900000000000074008
106598003	20020131	1	900000000000207008	900000000000074008
106599006	20020131	1	900000000000207008	900000000000074008
106604000	20020131	1	900000000000207008	900000000000074008
106605004	20020131	1	900000000000207008	900000000000074008
106613003	20020131	1	900000000000207008	900000000000074008
106928000	20020131	1	900000000000207008	900000000000074008
1071000119107	20130731	1	900000000000207008	900000000000073002
10746000	20020131	1	900000000000207008	900000000000074008
107580008	20020131	1	900000000000207008	900000000000074008
107604005	20020131	1	900000000000207008	900000000000074008
107645002	20020131	1	900000000000207008	900000000000074008
107647005	20140604	1	900000000000207008	900000000000073002
107651007	20020131	1	900000000000207008	900000000000074008
107656002	20020131	1	900000000000207008	900000000000074008
107657006	20020131	1	900000000000207008	900000000000074008
107658001	20020131	1	900000000000207008	900000000000074008
107666005	20020131	1	900000000000207008	900000000000074008
107669003	20020131	1	900000000000207008	900000000000074008
107671003	20020131	1	900000000000207008	900000000000074008
107682006	20020131	1	900000000000207008	900000000000074008
107727007	20020131	1	900000000000207008	900000000000074008
107733003	20020131	1	900000000000207008	900000000000073002
107736006	20020131	1	900000000000207008	900000000000073002
107784002	20020131	1	900000000000207008	900000000000073002
107837009	20030131	1	900000000000207008	900000000000073002
107876005	20120131	1	900000000000207008	900000000000073002
107878006	20020731	1	900000000000207008	900000000000073002
107884009	20020131	1	900000000000207008	900000000000073002
107907001	20020131	1	900000000000207008	900000000000073002
107936001	20020731	1	900000000000207008	900000000000073002
107938000	20020731	1	900000000000207008	900000000000073002
107944001	20020731	1	900000000000207008	900000000000073002
107957009	20020131	1	900000000000207008	900000000000073002
108021004	20030131	1	900000000000207008	900000000000073002
10810001	20020131	1	900000000000207008	900000000000073002
108143005	20020131	1	900000000000207008	900000000000073002
108147006	20070131	1	900000000000207008	900000000000073002
108148001	20050131	1	900000000000207008	900000000000073002
108152001	20090731	1	900000000000207008	900000000000073002
108156003	20020131	1	900000000000207008	900000000000073002
108180004	20020131	1	900000000000207008	900000000000073002
108189003	20020131	1	900000000000207008	900000000000073002
108191006	20020131	1	900000000000207008	900000000000073002
108216008	20020131	1	900000000000207008	900000000000074008
108217004	20060131	1	900000000000207008	900000000000073002
108234007	20050731	0	900000000000207008	900000000000074008
108241001	20020131	1	900000000000207008	900000000000074008
108252007	20020131	1	900000000000207008	900000000000074008
108257001	20020131	1	900000000000207008	900000000000074008
108259003	20020131	1	900000000000207008	900000000000074008
108261007	20020131	1	900000000000207008	900000000000074008
108262000	20020131	1	900000000000207008	900000000000074008
108266002	20020131	1	900000000000207008	900000000000074008
10827009	20020131	1	900000000000207008	900000000000074008
108272002	20020731	0	900000000000207008	900000000000074008
108273007	20030131	1	900000000000207008	900000000000073002
108279006	20020131	1	900000000000207008	900000000000073002
108290001	20020131	1	900000000000207008	900000000000074008
108310004	20020131	1	900000000000207008	900000000000074008
108311000	20020131	1	900000000000207008	900000000000074008
108327007	20020131	1	900000000000207008	900000000000074008
108329005	20020131	1	900000000000207008	900000000000074008
108333003	20020131	1	900000000000207008	900000000000074008
108340002	20020131	1	900000000000207008	900000000000074008
108343000	20020131	1	900000000000207008	900000000000074008
108347004	20070131	0	900000000000207008	900000000000074008
108365000	20020131	1	900000000000207008	900000000000073002
108369006	20020131	1	900000000000207008	900000000000074008
108371006	20020131	1	900000000000207008	900000000000074008
1086007	20020131	1	900000000000207008	900000000000074008
10890000	20030131	1	900000000000207008	900000000000073002
108961000	20020131	1	900000000000207008	900000000000074008
109228008	20020131	1	900000000000207008	900000000000074008
109262008	20040731	1	900000000000207008	900000000000073002
109265005	20030731	0	900000000000207008	900000000000074008
109266006	20020731	1	900000000000207008	900000000000073002
109269004	20030731	1	900000000000207008	900000000000073002
109419009	20020131	1	900000000000207008	900000000000074008
109420003	20020131	1	900000000000207008	900000000000074008
109441009	20040731	0	900000000000207008	900000000000074008
109448003	20080131	1	900000000000207008	900000000000073002
109449006	20020131	1	900000000000207008	900000000000073002
109549008	20020131	1	900000000000207008	900000000000073002
109550008	20020131	1	900000000000207008	900000000000073002
109787002	20020131	1	900000000000207008	900000000000074008
10992007	20020131	1	900000000000207008	900000000000074008
11000119105	20130731	1	900000000000207008	900000000000073002
1101003	20020131	1	900000000000207008	900000000000074008
110151001	20020131	1	900000000000207008	900000000000073002
110170006	20020131	1	900000000000207008	900000000000073002
110172003	20020131	1	900000000000207008	900000000000073002
110173008	20020131	1	900000000000207008	900000000000073002
110178004	20050131	1	900000000000207008	900000000000073002
110179007	20020131	1	900000000000207008	900000000000073002
110180005	20020131	1	900000000000207008	900000000000073002
110182002	20020731	1	900000000000207008	900000000000073002
110183007	20020131	1	900000000000207008	900000000000073002
110184001	20020131	1	900000000000207008	900000000000073002
110186004	20020131	1	900000000000207008	900000000000073002
110187008	20020131	1	900000000000207008	900000000000073002
110188003	20020131	1	900000000000207008	900000000000073002
110282008	20060131	1	900000000000207008	900000000000074008
110283003	20020131	1	900000000000207008	900000000000073002
110388005	20020131	1	900000000000207008	900000000000074008
110406006	20020131	1	900000000000207008	900000000000074008
110407002	20020131	1	900000000000207008	900000000000074008
110418002	20020131	1	900000000000207008	900000000000074008
110433005	20020131	1	900000000000207008	900000000000074008
110473004	20050131	1	900000000000207008	900000000000073002
110483000	20020131	1	900000000000207008	900000000000074008
110485007	20020131	1	900000000000207008	900000000000074008
110488009	20020131	1	900000000000207008	900000000000074008
110528008	20020131	1	900000000000207008	900000000000074008
110529000	20020131	1	900000000000207008	900000000000074008
110535000	20020131	1	900000000000207008	900000000000074008
110565005	20020131	1	900000000000207008	900000000000074008
11061003	20020131	1	900000000000207008	900000000000074008
110658006	20070131	0	900000000000207008	900000000000074008
111064005	20020131	1	900000000000207008	900000000000074008
111070004	20020131	1	900000000000207008	900000000000074008
111095003	20020131	1	900000000000207008	900000000000074008
1111000119100	20120731	0	900000000000207008	900000000000074008
111181004	20060131	1	900000000000207008	900000000000073002
1112003	20020131	1	900000000000207008	900000000000074008
111222003	20040731	1	900000000000207008	900000000000074008
111224002	20040731	1	900000000000207008	900000000000074008
111235007	20020731	1	900000000000207008	900000000000073002
11124005	20020131	1	900000000000207008	900000000000074008
111253001	20020731	1	900000000000207008	900000000000073002
111293003	20020131	1	900000000000207008	900000000000073002
111296006	20020131	1	900000000000207008	900000000000073002
111331000	20080131	1	900000000000207008	900000000000073002
111333002	20140604	0	900000000000207008	900000000000074008
111347003	20020131	1	900000000000207008	900000000000073002
111467008	20120731	1	900000000000207008	900000000000073002
111474003	20020131	1	900000000000207008	900000000000074008
111475002	20020131	1	900000000000207008	900000000000074008
111476001	20020131	1	900000000000207008	900000000000074008
111479008	20020131	1	900000000000207008	900000000000074008
111512005	20020131	1	900000000000207008	900000000000074008
111521006	20040731	1	900000000000207008	900000000000073002
111590001	20020131	1	900000000000207008	900000000000073002
11164009	20020131	1	900000000000207008	900000000000074008
111689003	20020131	1	900000000000207008	900000000000073002
111703006	20020131	1	900000000000207008	900000000000073002
111750002	20020131	1	900000000000207008	900000000000074008
11182007	20020131	1	900000000000207008	900000000000074008
111850006	20020131	1	900000000000207008	900000000000073002
111865007	20020131	1	900000000000207008	900000000000073002
111868009	20020131	1	900000000000207008	900000000000073002
111910009	20020131	1	900000000000207008	900000000000073002
111941005	20020131	1	900000000000207008	900000000000074008
111970001	20050131	1	900000000000207008	900000000000073002
