id	effectiveTime	active	moduleId	refsetId	referencedComponentId	attributeDescription	attributeType	attributeOrder
eb9ea963-215e-59a8-a3fc-a41c2e5702f7	20020131	1	900000000000207008	900000000000456007	900000000000527005	900000000000533001	900000000000460005	1
76433bbf-91b8-4a66-be1a-6ae753941efb	20140131	1	900000000000207008	900000000000456007	900000000000528000	900000000000532006	900000000000460005	0
07282932-6d67-4bf0-b63d-0c9a82c06800	20140131	1	900000000000207008	900000000000456007	900000000000528000	900000000000533001	900000000000460005	1
06522d4b-2512-4c08-9ab6-2a2a0ef2e660	20140131	1	900000000000207008	900000000000456007	900000000000530003	900000000000532006	900000000000460005	0
5cc4c1cf-bbc4-496c-9718-b301af8b2a1d	20140131	1	900000000000207008	900000000000456007	900000000000530003	900000000000533001	900000000000460005	1
9a85bfeb-05fd-4617-88a0-b618ab92522d	20140131	1	900000000000207008	900000000000456007	900000000000531004	900000000000532006	900000000000460005	0
8561568a-c56c-4b02-aaff-05e581606ebf	20140131	1	900000000000207008	900000000000456007	900000000000531004	900000000000533001	900000000000460005	1
37c34325-8f10-5bdc-86fc-62e38b706988	20020131	1	900000000000207008	900000000000456007	900000000000534007	900000000000535008	900000000000461009	0
587d6443-f2ae-5804-a0b0-fe7303572b79	20020131	1	900000000000207008	900000000000456007	900000000000534007	900000000000536009	900000000000475002	1
402c81ee-6eae-5dd3-850d-3aa331a340c2	20020131	1	900000000000207008	900000000000456007	900000000000534007	900000000000537000	900000000000475002	2
e8f00a4a-0a0c-5f92-a801-354f23625f17	20020131	1	900000000000207008	900000000000456007	900000000000538005	900000000000462002	900000000000461009	0
9d939ce5-d00f-55a4-ba11-bebcb0903274	20020131	1	900000000000207008	900000000000456007	900000000000538005	900000000000539002	900000000000461009	1
dd24e563-e194-5a3e-a251-8a5ccf5d8820	20020131	1	900000000000207008	900000000000456007	900000000000538005	900000000000544009	900000000000478000	2
