id	effectiveTime	active	moduleId	refsetId	referencedComponentId	targetComponentId
00708442-51dc-5b20-9b6f-32dd0826ac1a	20050131	1	900000000000207008	900000000000523009	41702007	414545008
016b25a2-8389-58e6-9eed-8b0c239ee335	20080731	1	900000000000207008	900000000000531004	502402017	193225000
041cdd91-abc3-5af2-9e78-a158a243c16b	20150301	1	731000124108	900000000000527005	5441000124105	705129007
04fc77f4-9986-5909-97e6-607ba8290107	20130301	1	731000124108	900000000000527005	1731000124109	473230005
0707baed-2793-5850-a34a-bb3c35cabe14	20150131	1	900000000000207008	900000000000531004	1218199013	707136009
07b93f30-d78a-5833-b904-31e0cfd05291	20120301	1	731000124108	900000000000526001	1131000124108	449744004
08ce3e89-a864-5233-ae48-fbfc5fe4625b	20130731	0	900000000000207008	900000000000523009	419076005	418925002
092665ed-4ac4-57cf-b7bf-53f6093b5697	20030131	1	900000000000207008	900000000000527005	270478005	193462001
09b42d17-bf98-5059-bcd8-def946756205	20150301	1	731000124108	900000000000527005	531000124103	708008000
0bed6311-8c6c-5ef9-98b0-5736bb95c254	20080731	1	900000000000207008	900000000000531004	497056017	168854009
0c496a71-9fd1-533d-933c-c885a57e924f	20150131	1	900000000000207008	900000000000531004	87023019	707136009
0da73021-72a2-5a89-928d-3b90ea969f06	20120301	1	731000124108	900000000000526001	1161000124104	449742000
0dc9deff-8849-517d-8b08-7b3d86b2de00	20120301	1	731000124108	900000000000526001	1331000124105	449752001
0de638df-3622-5a9d-ad94-d66afdf3e942	20140901	0	731000124108	900000000000527005	69321000119105	434341000124100
0e2192dd-fcb8-5927-b276-009ce3b05942	20070131	0	900000000000207008	900000000000523009	373644009	419258005
0e741e27-45bc-5e1d-a4cd-dbabda68221f	20110301	1	731000124108	900000000000526001	691000124100	446996006
0ed647df-2348-5088-ad36-a720429af6d7	20090131	1	900000000000207008	900000000000531004	200359016	439981005
0f061205-7ffe-5718-a5b0-bdff6cf9fc23	20120301	1	731000124108	900000000000524003	1161000124104	373872000
0fad14e5-0205-53ef-996e-2aab50338e32	20120301	1	731000124108	900000000000524003	1431000124103	373872000
1022659d-f9e6-5ec3-ade2-fc52cdbebcee	20110301	1	731000124108	900000000000526001	61000124106	446492004
