id	effectiveTime	active	moduleId	refsetId	referencedComponentId	targetComponentId
00548d88-3544-55ce-9084-7b323ee327e7	20040731	1	900000000000207008	900000000000527005	205787009	254245008
0107fca2-4715-5568-9cdf-cd82b4014b82	20020731	1	900000000000207008	900000000000523009	38807002	372087000
015e0f11-0035-5d99-a339-6c916007319e	20080131	1	900000000000207008	900000000000523009	12094002	76508002
0290589e-8de0-5ffe-8f89-15b278d62379	20130731	1	900000000000207008	900000000000523009	123397009	609336008
029f1f67-48b1-5773-b14c-1d6825f11797	20140131	1	900000000000207008	900000000000523009	105592009	91302008
04aaed66-e346-57f0-b77d-1554bb266731	20100731	1	900000000000207008	900000000000527005	231976001	424416009
04ae1445-6cc4-5a3b-88ef-dc8b533bf72a	20140131	1	900000000000207008	900000000000524003	93572002	416516009
0601ced4-75a3-50ae-9558-2da24b05bb11	20040731	1	900000000000207008	900000000000523009	118628001	409066002
07cbc862-5790-539f-90ef-3cb37c8595bf	20070731	1	900000000000207008	900000000000523009	306720004	64331004
083f96ff-28d4-5aa7-9b84-afc2bf754e07	20040131	1	900000000000207008	900000000000527005	363692008	29753000
08c40e8a-e594-5369-9fe3-acfa6b59cb17	20130731	1	900000000000207008	900000000000523009	118943001	609620004
08ce3e89-a864-5233-ae48-fbfc5fe4625b	20130731	0	900000000000207008	900000000000523009	419076005	418925002
092665ed-4ac4-57cf-b7bf-53f6093b5697	20030131	1	900000000000207008	900000000000527005	270478005	193462001
09b6fcee-0d70-508c-97f3-8dd7da14315e	20140131	1	900000000000207008	900000000000523009	302934007	699699005
09b92f53-0544-5576-9d01-afcb04230105	20040731	1	900000000000207008	900000000000527005	49910001	307132003
0a14eabc-da1b-5c20-89c7-3437ded1624a	20030731	1	900000000000207008	900000000000523009	109265005	400010006
0a93c280-c4af-512e-9aea-e5adb9bc05f8	20100131	1	900000000000207008	900000000000523009	268477000	412726003
0c0be57f-7ff1-5922-ae85-e718055375d4	20050731	1	900000000000207008	900000000000523009	50394002	416207009
0ca86b14-c834-5df3-b72b-2aad2d46db06	20040731	1	900000000000207008	900000000000527005	119372001	309051001
0d3717c6-2b9b-5857-834a-73d392b311ae	20050731	1	900000000000207008	900000000000523009	74069000	416093006
0d92da8a-0c9c-50a2-9cfb-ab3afe885d66	20140604	1	900000000000207008	900000000000527005	299700003	702468001
0deb8be3-3cba-52e8-9540-00b1ef84ac6b	20030731	1	900000000000207008	900000000000523009	3739008	397430003
101f68f3-4697-539f-9789-b91c867d947e	20070131	1	900000000000207008	900000000000523009	27760002	314802006
1090a7f3-4b0b-5d85-a080-2795f8ad62f3	20140131	1	900000000000207008	900000000000524003	91874003	416516009
112b3f99-c662-5b73-aaf1-f05be39477f1	20060131	1	900000000000207008	900000000000523009	32055008	311492009
11e36ad1-e17b-535b-8505-a4530950517f	20020731	1	900000000000207008	900000000000523009	194345004	20425006
1237af26-80c6-579c-ae97-b2ea599b36e6	20030731	1	900000000000207008	900000000000527005	128118007	302810003
123ced9f-93ae-50da-909d-858cf7fd8218	20040131	1	900000000000207008	900000000000526001	38318006	118797008
12e119d2-fa89-56e7-8c70-5751d61cc00a	20090131	1	900000000000207008	900000000000523009	189117002	441459009
13953f21-92f6-5137-b1fb-8e3127b901fb	20040131	0	900000000000207008	900000000000527005	312061002	50050003
14e1d721-fd17-5bbc-b533-d350482146f7	20050131	1	900000000000207008	900000000000527005	298384002	298385001
15f4c286-d0b7-5436-8076-b559538b82fc	20050131	1	900000000000207008	900000000000523009	8957000	414024009
166c2d74-9cdd-5892-a1d0-203a612e171e	20070131	1	900000000000207008	900000000000523009	79723009	422977003
16ef60a0-545e-542d-aea6-701984065d88	20060731	1	900000000000207008	900000000000527005	61402003	281004000
171488bc-a04e-5223-a940-fc8863e94c4f	20040731	1	900000000000207008	900000000000523009	271360006	123038009
18657621-7cca-55e5-b73c-74d235e17c33	20100131	1	900000000000207008	900000000000523009	240201007	442868003
18b9cea0-7eff-5123-8d31-51177f1b8137	20060131	1	900000000000207008	900000000000527005	223463000	223464006
1928c1cd-87cc-5920-a167-cd9624cc7e04	20040731	1	900000000000207008	900000000000523009	264048004	187639008
193182cb-12f1-5d8f-a75c-8ab88b2cd31e	20030131	1	900000000000207008	900000000000526001	129342008	257903006
196e5b97-73ae-576a-8312-c34fcc647eff	20120731	1	900000000000207008	900000000000523009	360583002	75160005
1a2237ee-7c20-5c99-aa2b-5875be8eea53	20050131	1	900000000000207008	900000000000523009	52332009	414314005
1a628e1b-7b00-5a8b-a71b-683da0e6e711	20020731	1	900000000000207008	900000000000523009	85362000	40733004
1ab55e24-dcbf-5ac5-97b7-376d7a678d9e	20040731	0	900000000000207008	900000000000527005	275322007	70582006
1b679c2b-2881-5193-bbf0-a33d633d562c	20040731	1	900000000000207008	900000000000523009	302793009	119376003
1b70e5d4-7413-5fac-8259-0a7c06186d33	20040731	1	900000000000207008	900000000000527005	92407004	255178004
1db40b37-cbcc-50d1-9307-63b752bcf3e1	20050131	0	900000000000207008	900000000000523009	41507004	372090006
1eed57d8-d5f6-5a62-a091-68e08160e627	20060131	1	900000000000207008	900000000000523009	243073001	409073007
1fcb0658-79c0-53eb-8172-7d7121522f65	20070731	0	900000000000207008	900000000000527005	360330009	129282004
203c4032-484a-502e-acd4-9aa869ca907a	20020731	1	900000000000207008	900000000000523009	57855005	371578004
2120bf73-bc9a-5290-af9f-9909f86246a5	20070131	0	900000000000207008	900000000000526001	129359003	386019004
2148ceab-8f34-5929-bfed-363c4cdef222	20090131	1	900000000000207008	900000000000523009	118689006	362958002
218dbd18-1bb7-5416-b6af-fee681ab9a33	20140131	1	900000000000207008	900000000000524003	93436006	416516009
222b875b-9885-5034-aafe-f698ed84e53a	20080731	1	900000000000207008	900000000000523009	17571003	304582006
22c7c825-c280-5f9c-aa92-f2944bb99fe5	20080731	1	900000000000207008	900000000000527005	398901001	428126001
23df253d-fc15-5f78-9c52-8d90fdc0749a	20060131	1	900000000000207008	900000000000527005	413388006	106599006
245a3439-f87b-5c78-ba76-2380a8da0124	20080731	1	900000000000207008	900000000000523009	225426007	432102000
2464d87f-8242-5593-85ff-47e237a8b052	20050731	1	900000000000207008	900000000000523009	14107000	416209007
