id	effectiveTime	active	moduleId	refsetId	referencedComponentId	valueId
001b719b-3316-5e7f-994b-ea556628c79e	20030131	0	900000000000207008	900000000000489007	304625001	900000000000486000
002feeea-e1d5-53be-88da-de8a85a92d89	20070131	1	900000000000207008	900000000000490003	791890013	900000000000495008
00440cf6-d889-5781-a099-e49bcd992062	20030731	1	900000000000207008	900000000000490003	376861019	900000000000495008
0060b729-5fbd-5504-9bab-989ef1e74b35	20050131	1	900000000000207008	900000000000490003	194716015	900000000000495008
00632c42-90e9-5ab5-b9dc-490ac6be21ef	20070131	1	900000000000207008	900000000000490003	476707010	900000000000495008
00e342fe-56eb-555d-9b48-2510b3600e0c	20060131	1	900000000000207008	900000000000490003	144865015	900000000000495008
00f617b6-d59f-5946-916e-88394fa20fc0	20050131	1	900000000000207008	900000000000490003	30795010	900000000000495008
00fa0433-ec87-5ddc-a9c1-6fc12055c0e6	20090131	1	900000000000207008	900000000000490003	794221010	900000000000495008
0123aa2d-f249-54a5-9bed-0a3a4d5b7493	20020731	1	900000000000207008	900000000000489007	41507004	900000000000484002
01efc3c8-44ca-5af9-b68d-3eae5aef95bf	20030731	1	900000000000207008	900000000000490003	484416015	900000000000495008
02124434-309b-5582-b7da-07ae73bc7f17	20070731	1	900000000000207008	900000000000490003	476591017	900000000000495008
021acfb6-c2b0-52d6-a6be-c2f078dfecbc	20030731	1	900000000000207008	900000000000490003	167407018	900000000000495008
022e6d0b-f17a-5945-a115-b9d0a0467126	20030131	0	900000000000207008	900000000000490003	709446011	900000000000486000
0236be99-1982-55aa-8662-cdd5d21968ef	20130731	1	900000000000207008	900000000000490003	726114014	900000000000495008
027fdbaf-2244-53b3-9a1b-0f09c6176dbd	20030131	1	900000000000207008	900000000000490003	1215991014	900000000000495008
02ac859c-f76c-514c-a24d-e063cb713192	20040731	1	900000000000207008	900000000000490003	500961012	900000000000495008
02b3a072-a147-5010-bc7d-ac1bf4ee2b47	20030731	1	900000000000207008	900000000000489007	3739008	900000000000484002
