id	effectiveTime	active	moduleId	refsetId	referencedComponentId	mapGroup	mapPriority	mapRule	mapAdvice	mapTarget	correlationId
abcac540-87be-5405-9048-f14333f3abc2	20020131	1	900000000000207008	447563008	10001005	1	1			038.9	447558009
c3f138b9-3abe-5616-abf0-80be677e7308	20020131	1	900000000000207008	447563008	10137002	1	1			941.14	447557004
99f8e03d-53e4-5405-9280-ea7f3e4d53bb	20020131	1	900000000000207008	447563008	102274008	1	1			733.99	447558009
cfdee37a-fd6d-566e-8864-71f8062f02be	20020131	1	900000000000207008	447563008	102275009	1	1			733.99	447558009
1fc382fc-8f71-5241-be62-c9120ce3e133	20020131	1	900000000000207008	447563008	102276005	1	1			733.99	447558009
17763e81-dfaa-55f0-9e8d-5773027364e3	20030731	0	900000000000207008	447563008	102957003	1	1			781.99	447560006
84aeca58-dab3-59df-8f0a-c6522c894e6c	20030731	1	900000000000207008	447563008	102957003	1	1				447556008
dc8b73b5-c3c0-5e4b-8280-5abb2300e168	20081031	0	900000000000207008	447563008	103011009	1	1			784.0	447558009
f67dd2b5-773e-53c0-b8f0-361aecdca087	20081031	1	900000000000207008	447563008	103011009	1	1			339.84	447558009
7b0448ee-4407-5146-8935-7129b9b7f858	20030731	0	900000000000207008	447563008	103267008	1	1			379.90	447557004
f9d75de1-0cb2-50f6-a666-28f7c4058b36	20060131	0	900000000000207008	447563008	103267008	1	1			V41.1	447558009
fb0ed92a-0b14-57ed-b6e2-2842136037cb	20020131	1	900000000000207008	447563008	10443009	1	1			136.9	447558009
26d05ab3-58fd-5ace-b08e-a0a687dff16a	20050131	0	900000000000207008	447563008	105480006	1	1				447556008
3f921967-0f34-5467-9145-4b9babbcbaa6	20140131	1	900000000000207008	447563008	105480006	1	1			V64.2	447559001
291f4d36-4a89-553e-a57f-08192a2293f8	20020731	1	900000000000207008	447563008	1055001	1	1			433.90	447557004
31e28f31-9425-5762-a9cc-6d421b739177	20140131	0	900000000000207008	447563008	105592009	1	1			038.9	447558009
49c36b50-752a-5d0a-8c59-942aeaddc0c7	20030731	1	900000000000207008	447563008	105597003	1	1			369.9	447558009
23b86aed-f276-5a6a-af8c-4e2cc1374e54	20020131	1	900000000000207008	447563008	105606008	1	1			959.8	447558009
ada1ab4e-19ec-561a-ac63-a1764a3fecca	20020731	1	900000000000207008	447563008	105615001	1	1			879.6	447557004
3072d4c5-f25d-56fa-864c-2a4f9f5a1dce	20081031	1	900000000000207008	447563008	105616000	1	1			879.8	447558009
b705019a-7d24-572a-93d7-25d45f310f17	20020131	1	900000000000207008	447563008	105631009	1	1			079.89	447558009
0e1101f2-744f-5c8e-bd02-32677de5b424	20020131	1	900000000000207008	447563008	105633007	1	1			079.89	447558009
7e049253-f329-5265-93dd-f4af6b926b0d	20020131	1	900000000000207008	447563008	105635000	1	1			079.50	447557004
0e949228-10df-54c2-9f73-882e5a460924	20081031	1	900000000000207008	447563008	105645003	1	1			136.21	447558009
66c8999b-af05-58bb-85ed-944d35bfc495	20081031	0	900000000000207008	447563008	105645003	1	1			136.2	447558009
46df2a98-fd0e-5b81-a495-a4842411a3e2	20020131	1	900000000000207008	447563008	105649009	1	1			084.2	447558009
44d769f4-4f54-5fec-8832-ae851e3d2bf8	20070731	0	900000000000207008	447563008	105715005	1	1				447556008
f10ff80e-8af7-5024-ba07-8fb4ae83a396	20070731	1	900000000000207008	447563008	105715005	1	1			136.8	447558009
99a2f6c4-9609-5d08-9291-fae56b438871	20020131	1	900000000000207008	447563008	105723007	1	1				447556008
970749ce-b320-5e90-8432-3c29fff32844	20020131	1	900000000000207008	447563008	105724001	1	1				447556008
be374782-5b46-5b60-a50a-431c1046829a	20020131	1	900000000000207008	447563008	105726004	1	1				447556008
d00c70d9-e5c8-58c6-b98b-72a50189008e	20020131	1	900000000000207008	447563008	105729006	1	1				447556008
ee151800-29f4-561a-8965-5f3000edfccf	20040131	0	900000000000207008	447563008	105962006	1	1			694.8	447558009
825944b9-3abf-5d5e-ab13-e4423780f79b	20040131	0	900000000000207008	447563008	105963001	1	1			709.8	447558009
3eefa454-caa6-55da-bf5e-8ea8ecacab34	20050731	0	900000000000207008	447563008	105965008	1	1			692.89	447558009
d0978458-9603-520f-b09b-bacde5c32968	20050731	1	900000000000207008	447563008	105965008	1	1			709.9	447558009
35d51e6a-255c-5d9e-9076-387761a725fe	20030731	0	900000000000207008	447563008	105966009	1	1			216.9	447557004
bd5e6255-9cb4-5efe-8495-61e5a15cba9c	20040131	0	900000000000207008	447563008	105966009	1	1			709.9	447558009
fa73d29a-173d-53ca-89a3-e5600a706af0	20020731	1	900000000000207008	447563008	105969002	1	1			710.9	447557004
b8f56700-8e9d-54a7-9990-da3788929aef	20020731	1	900000000000207008	447563008	105981003	1	1			427.9	447558009
403f9ab4-508c-5a9f-b45a-4b0c58ebd447	20020131	1	900000000000207008	447563008	105986008	1	1			756.9	447558009
a538a31c-6bc8-591f-a01b-d18f8acd235b	20020131	1	900000000000207008	447563008	105989001	1	1			759.7	447558009
8ae96bb6-e803-5321-96d9-70c3c67e38fb	20020131	1	900000000000207008	447563008	105995000	1	1			525.9	447557004
df36af57-b6d3-504c-bdb5-71def0de8ad0	20020131	1	900000000000207008	447563008	105997008	1	1			576.9	447557004
464a9f71-ea14-5cf7-ba87-cd770f31c89e	20020731	1	900000000000207008	447563008	106002000	2	1			626.9	447558009
d2393f68-dcc8-52c5-ac7e-40d7599dff7e	20020731	1	900000000000207008	447563008	106002000	1	1			627.9	447558009
7c9021ed-359f-57ab-8fea-b02954d33a2f	20030731	1	900000000000207008	447563008	106011000	1	1			764.20	447558009
85e04076-1dc1-5453-aab6-e8a920393122	20020731	1	900000000000207008	447563008	106014008	1	1			293.9	447558009
2f5ef51a-b108-5aa1-9ec7-6bf96bd013cb	20030731	0	900000000000207008	447563008	106016005	1	1			434.00	447559001
b1dff9c7-5e0b-5e80-9c40-ff1a9608ea56	20030731	1	900000000000207008	447563008	106016005	1	1			325	447558009
c13c246f-8e29-55b3-be62-203427c3f704	20020131	1	900000000000207008	447563008	106019003	1	1				447556008
97f90552-4c30-55ce-be19-8a10c120989b	20020131	1	900000000000207008	447563008	106020009	1	1				447556008
be6f3332-07a3-55cc-b1e0-e12f040e123d	20020731	1	900000000000207008	447563008	106028002	1	1				447556008
9d2e9509-ea55-57e0-8a4c-a3c2d3ad7b45	20020731	1	900000000000207008	447563008	106030000	1	1				447556008
1c5213ee-c1ff-5efb-aae6-6dc8be171c9d	20081031	1	900000000000207008	447563008	106048009	1	1				447556008
50e30d0c-0ba4-5a62-9773-5586ed62d162	20081031	0	900000000000207008	447563008	106048009	1	1			519.9	447558009
669a0540-4921-594c-a3da-f66debc5a974	20020131	1	900000000000207008	447563008	106063007	1	1				447556008
462f894b-753e-5bc4-a1c3-adebaacd5cc7	20020131	1	900000000000207008	447563008	106064001	1	1				447556008
1efc3ef4-1378-5ba0-ba76-8a25c07b9984	20030731	0	900000000000207008	447563008	106066004	1	1			427.9	447558009
9f104c34-6a3d-5091-89c9-f55c48319476	20030731	1	900000000000207008	447563008	106066004	1	1				447556008
e6cb8f07-250f-5b33-8115-3862b3588380	20130731	0	900000000000207008	447563008	106072004	1	1				447556008
2553bdc7-eabe-5a93-8adb-d68e9dfe105d	20020131	1	900000000000207008	447563008	106076001	1	1				447556008
c0343f44-4a46-5ad1-9509-bfb1772585db	20020131	1	900000000000207008	447563008	106077005	1	1				447556008
eadb10a1-cddd-5963-85c3-47c1c86bd931	20030131	0	900000000000207008	447563008	106080006	1	1				447556008
ae283c4d-241b-53a5-b399-155f8da18df3	20140604	0	900000000000207008	447563008	106088004	1	1				447556008
82d65d5f-3bda-5c25-9888-6bd0ff7a9611	20020131	1	900000000000207008	447563008	106098005	1	1				447556008
6b4f02d0-d123-527d-a461-6c302df2fc09	20020731	1	900000000000207008	447563008	106100005	1	1				447556008
8e44f86d-c587-5965-b6bb-13d6f77c23ab	20020131	1	900000000000207008	447563008	106102002	1	1			791.9	447558009
7caff577-cdd8-5949-941b-40340c79c0b8	20020131	1	900000000000207008	447563008	106103007	1	1				447556008
4f97b8fe-1ef2-5084-ac8a-1412a94477a0	20020131	1	900000000000207008	447563008	106112009	1	1				447556008
19fa43fc-011f-5a4b-859f-3c9be86c1e2d	20020131	1	900000000000207008	447563008	106126000	1	1				447556008
b6c62719-a0e0-5d8a-8fa7-3ce061b84a81	20020131	1	900000000000207008	447563008	106129007	1	1				447556008
785fdee7-42c3-5ab5-8a27-ecbcdd5fddad	20020131	1	900000000000207008	447563008	106138009	1	1				447556008
ab26d4d7-8611-57c3-84b9-00ee403bbd96	20020131	1	900000000000207008	447563008	106147001	1	1				447556008
d6899e1d-1f3b-5942-8fb9-0b282e9602b8	20020131	1	900000000000207008	447563008	106150003	1	1				447556008
2fc2626e-2c63-5033-9d4b-b86cabbc316b	20020131	1	900000000000207008	447563008	106152006	1	1				447556008
1acacec9-be64-5b84-8d1a-df04963dff30	20020131	1	900000000000207008	447563008	106153001	1	1				447556008
47840cba-14e2-580c-993b-a560db91e103	20020131	1	900000000000207008	447563008	106158005	1	1				447556008
2e33b759-7302-5060-97b4-eecc9397b7ab	20020131	1	900000000000207008	447563008	106168000	1	1				447556008
4ef24ea5-be66-5128-86a7-995de1b4cb87	20020731	1	900000000000207008	447563008	106182000	1	1				447556008
d4e2b4f0-db4c-52fb-842c-fb87e77cb5e6	20130731	0	900000000000207008	447563008	106190000	1	1			995.3	447557004
94657a51-6837-5744-8354-9df887b24f59	20020131	1	900000000000207008	447563008	106200001	1	1				447556008
75818884-b717-5634-aef6-1a1a45da7df1	20130731	1	900000000000207008	447563008	1071000119107	1	1			528.9	447558009
0a842a3b-56c8-5265-b907-c284bb9f58ae	20020131	1	900000000000207008	447563008	107645002	1	1				447556008
e3bd0d69-1cc0-5a3d-a204-0fc66cb432ab	20020131	1	900000000000207008	447563008	107647005	1	1				447556008
79cda2fb-ea16-5016-82d1-1055081f62a6	20020131	1	900000000000207008	447563008	107651007	1	1				447556008
bfeb0639-988e-5f73-9981-413a22abdecf	20020131	1	900000000000207008	447563008	10810001	1	1			379.39	447557004
71c21d3d-ed6e-5e2a-bc0e-fa3b28b3337b	20020131	1	900000000000207008	447563008	108329005	1	1				447556008
e35bb9d9-14cd-5e62-b8bb-60a60a1c2e07	20020731	0	900000000000207008	447563008	108333003	1	1			V15.82	447558009
fc1f8410-4076-5ede-af30-65d2caffa6d4	20020731	0	900000000000207008	447563008	108333003	2	1			V11.3	447558009
