id	effectiveTime	active	moduleId	refsetId	referencedComponentId	mapTarget
0001406e-99ce-5ebe-b84e-99691c094948	20020131	1	900000000000207008	900000000000497000	91935009	Xa1no
000206c6-1aec-5e6b-a084-2403022a3586	20020131	1	900000000000207008	446608001	61685007	C76.5
0002bb7c-0a43-522e-9d68-4cbffb4861ba	20020131	1	900000000000207008	900000000000498005	126583006	D1-F122F
0003b260-01ed-54a3-aca6-2bd1096addae	20050731	1	900000000000207008	900000000000497000	417470001	XUd70
00053c9d-702a-5ebd-9bd6-9e0531c5f11f	20020131	1	900000000000207008	900000000000497000	363536003	XUAcW
000b3687-e048-5ac8-8e15-b06d4ab7f2ab	20020131	1	900000000000207008	900000000000498005	281467004	T-D320B
000f2df8-3456-519e-94ae-d52de2cbf668	20020131	1	900000000000207008	900000000000497000	15574005	XU84A
001cd0af-6098-58c2-823b-f692f8256a83	20020131	1	900000000000207008	900000000000498005	108954004	C-71001
001f51cf-2981-5bba-8c13-2aff0324f82c	20020131	1	900000000000207008	900000000000498005	249376008	F-00CB0
0024320f-8a6d-5810-a290-8adce61e88ff	20020131	1	900000000000207008	446608001	41111004	C40.2
002e69b5-bfff-5fbc-8721-633a5bf12db0	20110131	1	900000000000207008	900000000000498005	446110000	L-84A32
002fee75-3f40-5de1-a656-84fd0bb7cec3	20020131	1	900000000000207008	900000000000497000	364186005	XUT3H
0033890c-e4da-56f9-b494-ec128beabb5e	20020731	1	900000000000207008	900000000000498005	373873005	R-003EB
0035281a-75a8-5f5c-b790-15e56c637ca9	20020131	1	900000000000207008	900000000000497000	90460009	XA007
00364894-bba7-55a4-9fd9-ceb26cacb348	20020131	1	900000000000207008	900000000000497000	33359002	X78w6
0036ca08-2563-5a33-b3aa-e356bf881e4e	20020131	1	900000000000207008	900000000000498005	900000000000481005	R-5004C
00389f39-d237-5cd4-8e4d-65697c1ce9e6	20130131	1	900000000000207008	900000000000498005	473221002	P0-041B4
003a3534-34de-5ba7-a1dc-d3d926e46554	20020131	1	900000000000207008	900000000000498005	80266002	T-D6220
003b0861-5a06-5bff-a98c-6430cf76f961	20020131	1	900000000000207008	900000000000497000	266907002	XE0oS
003b4e95-16c8-52b4-86e0-40c00ff9cd02	20020131	1	900000000000207008	900000000000498005	29857009	F-37000
003e0261-2fd3-59f5-98cf-7b02fd51f921	20020131	1	900000000000207008	900000000000497000	50653002	XUFRc
003ed769-5aac-5064-a199-c05eeecdb474	20020131	1	900000000000207008	900000000000498005	92285007	D1-F3200
0041b1c6-7ab8-5a1a-88af-6151f329442f	20020131	1	900000000000207008	900000000000497000	36417005	XUCZG
00443f60-bab1-5a63-85ee-a2c02e495421	20020131	1	900000000000207008	900000000000498005	227545001	C-F07CD
00450841-09fe-539b-bdec-050b43fb3c89	20020131	1	900000000000207008	900000000000497000	111253001	XU2qa
00476b19-9213-513e-93a8-26cc1df4687a	20030131	1	900000000000207008	900000000000497000	394854006	XaIk0
0048196f-1bd8-5c48-907d-25366a72005b	20020131	1	900000000000207008	900000000000497000	272519000	XM0L8
00494ce3-b251-5d97-ab9b-7daa07b0862d	20020131	1	900000000000207008	900000000000497000	313204009	XaEFY
0049ab21-3fa9-518a-a559-270b0aa3bd1b	20020131	1	900000000000207008	900000000000498005	227537006	C-F07C5
004e0da0-f800-5c74-aea4-b109499482ec	20020131	1	900000000000207008	900000000000498005	126677000	D2-F022F
0052201f-4bf4-5f33-bc31-4ce6374ff1d3	20110131	1	900000000000207008	900000000000497000	446291009	XUkCp
0053788b-ecbe-5dd6-ab7c-1e6af4d9486f	20020131	1	900000000000207008	900000000000498005	15523002	DA-31410
0060a421-8e92-5024-b4e6-f51fde7b3eb8	20020131	1	900000000000207008	900000000000497000	125194009	XU6Pj
