id	effectiveTime	active	moduleId	refsetId	referencedComponentId	mapGroup	mapPriority	mapRule	mapAdvice	mapTarget	correlationId
000e85b5-12b4-53c3-a6d0-8f8fe75e4d1d	20020131	1	900000000000207008	447563008	79626009	1	1			825.21	447557004
00156d75-05f5-5a92-aa2a-c75a51c4f02b	20020731	1	900000000000207008	447563008	237911005	1	1			270.8	447558009
0069613c-9f95-56e1-9cd8-52695913304f	20060731	1	900000000000207008	447563008	271885008	1	1				447556008
00759564-83f7-54e8-8fa1-ec88069420dc	20020731	1	900000000000207008	447563008	116313000	1	1				447556008
0081aeb3-0446-544d-9fb0-b2a96fbb9a91	20030731	1	900000000000207008	447563008	90935002	1	1			286.0	447557004
009e57af-0776-5db1-9f99-27837800b364	20020131	1	900000000000207008	447563008	126846004	1	1			239.0	447558009
00c047b2-6db3-5c78-a538-544a5e041ba5	20140731	1	900000000000207008	447563008	702624008	1	1			759.0	447558009
00c233ad-da89-51f9-9b37-3760a5eaa2bf	20030731	0	900000000000207008	447563008	128462008	1	1			199.0	447557004
00daf6a0-24b1-5a56-b627-4e7448b50b0e	20130131	1	900000000000207008	447563008	472916000	1	1			349.82	447557004
00f2d3ac-8a19-5eb9-9b2b-6057f590991e	20040731	0	900000000000207008	447563008	59101000	1	1			823.00	447558009
01040ad5-799d-542f-9d68-7f4ddebe8158	20020131	1	900000000000207008	447563008	276808007	1	1			235.2	447557004
01157cc6-79f1-59eb-85cc-6a0fcaaa303b	20090131	1	900000000000207008	447563008	441457006	1	1				447556008
01289326-4c42-5bdc-a1e6-67519c939cfb	20060930	0	900000000000207008	447563008	275130003	1	1			V18.5	447558009
012fe8fd-7058-5a9f-a47d-33e89c34cd8b	20020731	1	900000000000207008	447563008	236615008	1	1			593.70	447558009
01300c32-e1ca-5851-ba42-14f08d5798d9	20030131	1	900000000000207008	447563008	385389007	1	1				447556008
0139e53f-64f9-515a-bbe6-21c45411fd54	20090131	0	900000000000207008	447563008	230390002	1	1			345.90	447558009
014859e4-2227-5419-b97d-c91c95999f3e	20110731	1	900000000000207008	447563008	230690007	1	1			434.91	447557004
0153f9df-fb47-57a7-9242-9e8f589de8b0	20080731	1	900000000000207008	447563008	431030000	2	1			733.00	447557004
01645894-74db-5bba-963a-b41128661b6b	20130731	0	900000000000207008	447563008	255168002	3	1			211.2	447558009
016f96ed-4a3a-56a4-9d01-0b68f29bbcbf	20020131	1	900000000000207008	447563008	249236000	1	1				447556008
01713ebd-37b7-5c5e-a9dd-2b40bdbaa8be	20030131	0	900000000000207008	447563008	279001004	1	1			780.9	447558009
0174b697-39bd-520a-a10e-a4770823e896	20080131	1	900000000000207008	447563008	428385007	1	1			136.9	447558009
